knockout,n_queries,pass1,pass5,mean_at_5,pool_size_median,early_kv_mass,mediator_score,settlement_score,stability_guard,source
full_law,1503,0.6081170991350632,0.8157019294743846,0.5894876912840985,34.0,0.0649790990623653,-0.556583946693368,0.4293692725749118,-0.2744301107362301,NGC-v1 cached fixed-law role ablation
drop_veto,1503,0.5781769793745841,0.8090485695276114,0.5681969394544245,14.0,0.0545877821448092,0.3156512716694277,0.493991324552829,-1.9432179176397824,NGC-v1 cached fixed-law role ablation
drop_evidence_broker,1503,0.590818363273453,0.8077178975382568,0.5788423153692615,20.0,0.0649790990623653,-0.4139496580583667,0.470215496566302,-1.5302161189238557,NGC-v1 cached fixed-law role ablation
drop_mediator,1503,0.6081170991350632,0.8077178975382568,0.6009314703925482,20.0,0.082821386933728,-0.6545571082180169,0.4673832173097165,-0.1996044221696626,NGC-v1 cached fixed-law role ablation
drop_settlement,1503,0.6274118429807053,0.7970725216234198,0.598270126413839,20.0,0.1552043350643486,0.2977722266141486,0.1791826597426056,0.6454737147239511,NGC-v1 cached fixed-law role ablation
drop_reconstruction_guard,1503,0.5562208915502329,0.7957418496340652,0.5616766467065869,14.0,0.0638155699806908,0.720581926224252,0.4499351974511267,-1.865577898399209,NGC-v1 cached fixed-law role ablation
