pair,model,dataset,n_queries,cached_raw,cached_top1,cached_topk,live_raw,live_top1,live_topk,live_raw_f1,live_top1_f1,live_topk_best_f1
llama3-8b/gpqa,llama3-8b,gpqa,75,0.6933333333333334,0.3333333333333333,0.7466666666666667,0.4266666666666667,0.36,0.52,0.5799914439417044,0.5142804896957681,0.6352088422762505
llama3-8b/hotpot-qa,llama3-8b,hotpot-qa,75,0.7466666666666667,0.64,0.8133333333333334,0.6666666666666666,0.5466666666666666,0.7066666666666667,0.6115509603118299,0.5496873496873497,0.7040920391384787
qwen3-4b/gpqa,qwen3-4b,gpqa,75,0.7333333333333333,0.4266666666666667,0.8266666666666667,0.4266666666666667,0.38666666666666666,0.5866666666666667,0.5223329207652053,0.4981327539898615,0.6656043956043957
qwen3-8b/hotpot-qa,qwen3-8b,hotpot-qa,75,0.7733333333333333,0.7333333333333333,0.8533333333333334,0.5466666666666666,0.5466666666666666,0.6266666666666667,0.5963844797178129,0.587100529100529,0.6705961874382927
