condition,n_pairs,total_rows,median_generation_seconds,median_peak_memory_gb,total_model_load_seconds,total_wtp_load_seconds,total_materialize_seconds
C316_ranking_only,4,4,4.911338328383863e-06,0.0,0.0,0.0,0.0
ngc_top1_generation,4,80,0.2807437777519226,11.519933700561523,20.772843630984426,0.7374982491601257,0.016969379037618502
ngc_top5_generation,4,400,0.3282999992370605,11.333209991455078,86.29633433790877,6.653026578715071,0.0936175128445027
raw_generation,4,80,0.2902721166610718,11.618172407150269,41.78777651814744,0.0,0.0
reconstruction_ranking_only,4,4,4.911073483526707e-06,0.0,0.0,0.0,0.0
