diff,ci_low,ci_high,p_boot,n,contrast,metric
0.017298735861610112,0.003992015968063872,0.03127079174983367,0.0142,1503,full_law_minus_drop_evidence_broker,pass1
0.007984031936127744,-0.0026613439787092482,0.018629407850964737,0.167,1503,full_law_minus_drop_evidence_broker,passk
0.010645375914836993,0.005721889554224885,0.015701929474384566,0.0,1503,full_law_minus_drop_evidence_broker,mean_at_k
0.0,0.0,0.0,1.0,1503,full_law_minus_drop_mediator,pass1
0.007984031936127744,-0.0006653359946773121,0.0166333998669328,0.0808,1503,full_law_minus_drop_mediator,passk
-0.011443779108449766,-0.016234198270126413,-0.00665335994677312,0.0,1503,full_law_minus_drop_mediator,mean_at_k
-0.01929474384564205,-0.031936127744510975,-0.00665335994677312,0.0022,1503,full_law_minus_drop_settlement,pass1
0.018629407850964737,0.004657351962741184,0.0332667997338656,0.0104,1503,full_law_minus_drop_settlement,passk
-0.008782435129740517,-0.016500332667997337,-0.0010645375914836975,0.0284,1503,full_law_minus_drop_settlement,mean_at_k
0.029940119760479042,0.01330671989354624,0.04590818363273453,0.0004,1503,full_law_minus_drop_veto,pass1
0.00665335994677312,-0.0053226879574184965,0.017964071856287425,0.2928,1503,full_law_minus_drop_veto,passk
0.021290751829673986,0.014770459081836327,0.027811044577511643,0.0,1503,full_law_minus_drop_veto,mean_at_k
0.05189620758483034,0.03127079174983367,0.07252162341982701,0.0,1503,full_law_minus_drop_reconstruction_guard,pass1
0.01996007984031936,0.003992015968063872,0.03592814371257485,0.0162,1503,full_law_minus_drop_reconstruction_guard,passk
0.027811044577511643,0.019161676646706587,0.036463739188290045,0.0,1503,full_law_minus_drop_reconstruction_guard,mean_at_k
